liblua, 5.3.5, 1.6.4, jolla, aarch64;
libmce-glib, 1.1.0, 1.8.1, jolla, aarch64;
libmce-qt5, 1.5.0, 1.7.1, jolla, aarch64;
libmce-qt5-declarative, 1.5.0, 1.7.1, jolla, aarch64;
libmlocale-qt5, 0.7.6, 1.8.1, jolla, aarch64;
libmount, 2.38.1, +git1-1.8.3, jolla, aarch64;
libmpg123, 1.30.2, +git1-1.9.1, jolla, aarch64;
libncicore, 1.1.20, 1.4.1, jolla, aarch64;
libnciplugin, 1.1.4, 1.6.1, jolla, aarch64;
libnemotransferengine-qt5, 2.0.3, 1.12.1, jolla, aarch64;
libngf, 0.28, 1.5.1, jolla, aarch64;
libngf-qt5, 0.8.2, 1.9.1, jolla, aarch64;
libngf-qt5-declarative, 0.8.2, 1.9.1, jolla, aarch64;
libngf-qt5-qtfeedback, 0.8.2, 1.9.1, jolla, aarch64;
libnghttp2, 1.41.0, +git1-1.4.6, jolla, aarch64;
libnice, 0.1.17, +git5-1.5.3, jolla, aarch64;
libnl, 3.5.0, +git2-1.6.3, jolla, aarch64;
libofonobinderpluginext, 1.1.11, 1.5.1, jolla, aarch64;
libogg, 1.3.5, 1.5.2, jolla, aarch64;
libpcap, 1.9.1, +git1-1.5.4, jolla, aarch64;
libphonenumber, 8.12.33, +git2-1.7.2, jolla, aarch64;
libphonenumber-geocoding, 8.12.33, +git2-1.7.2, jolla, aarch64;
libpng, 1.6.37, +git1-1.4.3, jolla, aarch64;
libprolog, 1.2.2, 1.6.1, jolla, aarch64;
libpsl, 0.21.0, +git3-1.6.2, jolla, aarch64;
libqapk, 0.5.1, 1.2.2, jolla, aarch64;
libqmfclient1-qt5, 4.0.4, +git136-1.9.1, jolla, aarch64;
libqofono-qt5, 0.115.1, 1.8.1, jolla, aarch64;
libqofono-qt5-declarative, 0.115.1, 1.8.1, jolla, aarch64;
libqofonoext, 1.0.29, 1.6.1, jolla, aarch64;
libqofonoext-declarative, 1.0.29, 1.6.1, jolla, aarch64;
libquillmetadata-qt5, 2.0.0, 1.5.2, jolla, aarch64;
libresource, 0.25.1, 1.6.1, jolla, aarch64;
libresourceqt-qt5, 1.32.0, 1.9.2, jolla, aarch64;
